STUDENT,YEAR,COURSE,SCHOOL YR,SEMESTER,LECTURE DAYS,LECTURE HRS,DISCUSSION DAY,DISCUSSION HR,PS 1,PS 2,PS 3,LE1,LE2,LE3,LE4,Fi0l Grade,Numerical,,,,,,,,,,
54,2022,BS Arch,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,22,3,28,14,13,16,18,57.49,2.75,,,,,,,,,,
55,2022,BS MBB,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,26,29,29,23,25,22,27,87.50,1.25,,,,,,,,,,
56,2022,BS Chem,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,23,1,17,18,13,12,14,53.56,3.00,,,,,,,,,,
57,2022,BS Chem,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,25,27,20,21,19,19,21,72.77,2.00,,,,,,,,,,
58,2022,BS MBB,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,30,30,29,22,26,23,25,86.67,1.25,,,,,,,,,,
59,2019,BS Chem,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,26,25,19,19,18,19,17,69.28,2.25,,,,,,,,,,
60,2022,BS Chem,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,26,24,14,18,11,16,19,64.98,2.50,,,,,,,,,,
61,2022,BS MBB,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,30,30,29,26,27,24,28,92.50,1.00,,,,,,,,,,
62,2022,BS Chem,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,25,26,15,17,14,12,9,56.70,2.75,,,,,,,,,,
63,2022,BS MBB,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,30,30,29,25,21,24,26,87.50,1.25,,,,,,,,,,
64,2022,BS MBB,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,30,29,29,27,26,25,0,90.00,1.00,,,,,,,,,,
65,2022,BS Arch,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,8,13,14,15,8,9,6,40.69,5.00,,,,,,,,,,
66,2021,BS Chem,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,19,13,18,15,15,0,12,50.30,3.00,,,,,,,,,,
67,2022,BS MBB,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,29,30,29,28,23,24,25,89.17,1.25,,,,,,,,,,
68,2022,BS Chem,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,25,26,10,19,16,14,17,64.38,2.50,,,,,,,,,,
69,2022,BS MBB,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,30,30,29,29,25,23,28,93.33,1.00,,,,,,,,,,
70,2022,BS Chem,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,25,27,25,14,22,21,17,74.67,2.00,,,,,,,,,,
71,2022,BS MBB,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,30,30,27,21,20,17,18,73.70,2.00,,,,,,,,,,
72,2022,BS MBB,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,27,27,22,22,18,13,22,75.56,1.75,,,,,,,,,,
73,2022,BS Chem,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,25,26,22,16,19,16,13,65.48,2.25,,,,,,,,,,
74,2022,BS Chem,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,24,26,15,14,13,7,9,46.72,4.00,,,,,,,,,,
75,2022,BS MBB,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,30,30,28,23,19,16,0,73.33,2.00,,,,,,,,,,
76,2022,BS MBB,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,28,30,25,24,24,20,24,84.22,1.50,,,,,,,,,,
77,2023,BS EM,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,20,27,23,9,7,13,13,53.94,3.00,,,,,,,,,,
78,2021,BS IE,2023-2024,2nd,"T,Th",7:00-8:30,F,7:00-8:00,29,29,29,18,18,15,24,75.00,1.75,,,,,,,,,,
